log_id,node_id,json_status,http_response_code,response_time_ms,system_load,is_infected,hardware_serial,flag_spoofed,flag_ddos,flag_malware,threat_score
0,412,OPERATIONAL,206,248,0.188538919077206,True,SN-8477,False,False,True,1
1,82,OPERATIONAL,200,117,0.2152373833218445,False,SN-8930,False,False,False,0
2,151,OPERATIONAL,429,216,0.3899390765914465,True,SN-5356,True,False,False,1
3,256,OPERATIONAL,200,120,0.345487413260784,False,SN-9751,False,False,False,0
4,160,OPERATIONAL,200,125,0.317746934863928,False,SN-8296,False,False,False,0
5,241,OPERATIONAL,200,127,0.1002501388642111,False,SN-1103,False,False,False,0
6,358,OPERATIONAL,200,118,0.2136395841909284,False,SN-5698,False,False,False,0
7,10,OPERATIONAL,200,109,0.562642330202015,False,SN-7918,False,False,False,0
8,307,OPERATIONAL,200,128,0.8747713489588511,False,SN-8071,False,False,False,0
9,402,OPERATIONAL,200,115,0.5822829940268556,False,SN-7760,False,False,False,0
10,274,OPERATIONAL,429,240,0.5104580235064274,True,SN-4844,True,False,False,1
11,125,OPERATIONAL,206,236,0.8700873706476114,True,SN-2450,False,False,True,1
12,67,OPERATIONAL,200,104,0.6900860999328826,False,SN-3142,False,False,False,0
13,194,OPERATIONAL,200,117,0.4783864579581911,False,SN-9169,False,False,False,0
14,343,OPERATIONAL,200,105,0.8466142497571146,False,SN-2008,False,False,False,0
15,368,OPERATIONAL,200,120,0.3843023646812528,False,SN-3546,False,False,False,0
16,63,OPERATIONAL,206,242,0.2168045612478531,True,SN-1376,False,False,False,0
17,365,OPERATIONAL,200,105,0.5072573748122924,False,SN-5430,False,False,False,0
18,141,OPERATIONAL,200,112,0.3406537775451775,False,SN-8961,False,False,False,0
19,146,OPERATIONAL,200,117,0.3160230276375705,False,SN-7924,False,False,False,0
20,132,OPERATIONAL,200,119,0.1158474240971869,False,SN-9750,False,False,False,0
21,425,OPERATIONAL,200,118,0.1189210882731606,False,SN-7902,False,False,False,0
22,116,OPERATIONAL,200,138,0.4680735137255615,False,SN-4104,False,False,False,0
23,258,OPERATIONAL,200,138,0.2971982510581335,False,SN-2106,False,False,False,0
24,55,OPERATIONAL,200,106,0.3993190475573851,False,SN-7429,False,False,False,0
25,184,OPERATIONAL,200,110,0.6634835904050901,False,SN-2943,False,False,False,0
26,380,OPERATIONAL,200,138,0.2431963312599151,False,SN-3316,False,False,False,0
27,458,OPERATIONAL,200,111,0.2601623422973665,False,SN-8286,False,False,False,0
28,145,OPERATIONAL,200,117,0.8797794733749086,False,SN-8250,False,False,False,0
29,45,OPERATIONAL,200,108,0.7263062670959245,False,SN-2037,False,False,False,0
30,181,OPERATIONAL,200,139,0.7604714755716487,False,SN-8721,False,False,False,0
31,79,OPERATIONAL,200,115,0.7758585292904304,False,SN-1671,False,False,False,0
32,419,OPERATIONAL,200,101,0.7964134491042744,False,SN-3434,False,False,False,0
33,373,OPERATIONAL,200,126,0.8514780096140978,False,SN-2320,False,False,False,0
34,124,OPERATIONAL,200,129,0.2876982412723307,False,SN-7866,False,False,False,0
35,286,OPERATIONAL,200,130,0.6731511328690812,False,SN-8675,False,False,False,0
36,355,OPERATIONAL,200,115,0.1949124352544736,False,SN-9971,False,False,False,0
37,455,OPERATIONAL,200,140,0.6594709734735764,False,SN-4506,False,False,False,0
38,65,OPERATIONAL,200,117,0.8318751148755784,False,SN-2280,False,False,False,0
39,349,OPERATIONAL,200,111,0.519039066602926,False,SN-2486,False,False,False,0
40,261,OPERATIONAL,200,119,0.224058647640261,False,SN-9074,False,False,False,0
41,98,OPERATIONAL,200,103,0.7292442292653328,False,SN-5976,False,False,False,0
42,319,OPERATIONAL,200,106,0.8912481932198245,False,SN-8648,False,False,False,0
43,180,OPERATIONAL,429,234,0.7331285009825413,True,SN-4027,True,False,False,1
44,72,OPERATIONAL,200,112,0.3856587793541158,False,SN-1902,False,False,False,0
45,284,OPERATIONAL,200,129,0.1672636139718838,False,SN-3093,False,False,False,0
46,282,OPERATIONAL,200,106,0.2083283047426477,False,SN-7517,False,False,False,0
47,355,OPERATIONAL,200,123,0.2078979933681768,False,SN-9971,False,False,False,0
48,205,OPERATIONAL,200,101,0.5325886115973675,False,SN-6910,False,False,False,0
49,170,OPERATIONAL,200,105,0.192414086460855,False,SN-6356,False,False,False,0
